,Components,Price,Day,Year
0,AAPL,172.17,-7.13,-3.98
1,MSFT,325.83,-8.82,-2.64
2,JPM,160.45,2.51,1.59
3,UNH,492.86,-0.96,-0.19
4,JNJ,173.17,2.03,1.19
5,V,214.54,2.23,1.05
6,HD,399.53,-8.15,-2.0
7,WMT,143.29,-2.48,-1.7
8,PG,161.01,2.15,1.35
9,DIS,148.75,-1.65,-1.1
10,NKE,162.72,-1.18,-0.72
11,CSCO,60.38,0.45,0.75
12,KO,58.65,0.59,1.02
13,CRM,253.12,-6.92,-2.66
14,CVX,116.92,1.38,1.19
15,VZ,52.75,2.2,4.35
16,INTC,50.88,0.21,0.4
17,MCD,265.72,1.06,0.4
18,MRK,76.03,0.8,1.06
19,HON,209.61,-0.19,-0.09
20,GS,397.37,7.46,1.91
21,AXP,163.0,0.76,0.47
22,AMGN,222.17,2.92,1.33
23,BA,190.79,-4.64,-2.37
24,IBM,125.93,2.93,2.38
25,CAT,206.18,3.63,1.79
26,MMM,178.44,2.66,1.51
27,WBA,49.26,-0.35,-0.69
28,DOW,54.79,0.75,1.38
29,TRV,162.06,3.69,2.33
